推,噓,分數,作者,標題,時間
3,10,-7,start9963 (失火啦火葬場啦),[問卦] 整天喊死刑不就跟中國一樣,Sun Nov  1 10:39:51 2020
26,6,20,yoseii (yoseii),[新聞] 長榮女大生遇害 父親盼嚴懲凶手防止類似不幸,Sun Nov  1 02:05:50 2020
1,1,0,AgentSkye56 (大安周渝民),[問卦] 台南房價是不是又要井噴了,Sun Nov  1 08:51:48 2020
2,1,1,ptt987654321 (),[新聞] 勒斃長榮女大生！台南惡狼住家遭蛋洗 親,Sun Nov  1 10:16:42 2020
4,4,0,diok (幻影),[問卦] 台灣人是不是能體會印度人的心情了?,Sun Nov  1 11:25:42 2020
1,0,1,redspeed (RED),[問卦] 釣到沼澤之王然後哩?,Sun Nov  1 11:27:45 2020
16,8,8,skizard ( ),[新聞] 林佳龍任台大國發所客座講師 談政府創新,Sun Nov  1 08:41:58 2020
39,26,13,BerserkerAxe (織織),[問卦] 我覺得我撐不下去了,Sun Nov  1 02:30:31 2020
0,0,0,ptt987654321 (),[問卦] 仇女、仇甲、單身、肥宅交集為什麼會這麼,Sun Nov  1 11:01:06 2020
3,0,3,autokey (該起床啦),[問卦] 東方快車跟無限列車哪個CP值比較高的八卦,Sun Nov  1 00:42:47 2020
43,3,40,michaeldrum (Syncopation),[問卦] 去新竹一天能幹嘛啊,Sun Nov  1 04:58:57 2020
5,1,4,suhu5566 (),[問卦] 當初抗爭不要捷運經過的居民現在在想什,Sun Nov  1 08:52:19 2020
239,0,239,Mariano42 (Mariano Rivera),[問卦] 為啥美國投票是在平日？,Sun Nov  1 02:42:50 2020
517,72,445,zuan (Hello),[爆卦] 超越連戰的舉球手出現啦！,Sun Nov  1 09:08:20 2020
32,3,29,ppppppppp (凹嗚嗚),[新聞] 校慶溜充氣滑梯闖關　苗栗多名學生扭傷挫嘆：校方硬逼溜,Sun Nov  1 10:55:58 2020
13,3,10,lianpig5566 (家庭教師殺手里包恩),[問卦] 學生辦信用卡的人多嗎,Sun Nov  1 02:09:59 2020
18,7,11,rs5556 (懶叫好吃^Q^),[新聞] 取名很重要！帶貓打預防針 獸醫猛問：你,Sun Nov  1 01:15:35 2020
9,1,8,taiwannext (2016綠營重新執政 ),[問卦]川普任命大法官將讓他順利連任美國總統？,Sun Nov  1 08:54:05 2020
4,5,-1,autokey (該起床啦),[問卦] 在火車上對談但眼睛不看人沒禮貌的八卦?,Sun Nov  1 00:33:27 2020
4,8,-4,keyesleo (以前曾經很帥),[問卦] 各位有這樣的朋友嗎？,Sun Nov  1 00:45:47 2020
3,2,1,jump1230 (濕密爾),[問卦] 有沒有花蓮交通阿姨優先的八卦？,Sun Nov  1 10:00:12 2020
11,2,9,layu19920414 (Guan-Jie Huang),[問卦] SMAP最好聽的484世界に一つだけの花牙,Sun Nov  1 03:58:11 2020
6,1,5,MunezSu (Munez),[問卦] 台灣治安到底算不算好?,Sun Nov  1 08:51:53 2020
26,4,22,BlueGiant (極簡風格 藍巨人),[問卦] 為什麼任天堂不出高性能主機了？,Sun Nov  1 01:34:51 2020
22,6,16,aure0914 (tunik),[問卦] 小馮常常把椅墊坐到扁掉？,Sun Nov  1 02:30:30 2020
2,0,2,GOFEN (豬阿布),[問卦] 狗為何怕殺狗的人?,Sun Nov  1 03:11:54 2020
7,3,4,stank1240 (不發廢文的阿肥),[問卦] 把動保所的狗賣給對岸狗肉車可行嗎？,Sun Nov  1 04:36:14 2020
6,2,4,chan324 (北極熊),[問卦] 肥宅有啥優勢?,Sun Nov  1 03:03:43 2020
3,0,3,ikoy (？？？？),[問卦] 妹妹不讓我擦小穴該怎麼辦？,Sun Nov  1 10:25:31 2020
8,1,7,lamigo520 (菜市口阿勇),[問卦] 現在小朋友還知道陳浩南嗎？,Sun Nov  1 01:00:46 2020
2,1,1,tools (tools),[問卦] Ipod Shuffle該復刻了吧,Sun Nov  1 10:55:26 2020
2,6,-4,steven56138 (史蒂芬盒),[問卦] 遇到怪人腫摸辦,Sun Nov  1 02:25:59 2020
10,0,10,freeclouds (創造自己新的人生),[新聞] 隨機性侵殺人還洗劫 律師：判死機率相對,Sun Nov  1 10:41:14 2020
11,1,10,ptgeorge2 (左輪小手槍),[問卦] 讓支持廢死去養死刑犯可行嗎？,Sun Nov  1 09:18:34 2020
1,1,0,Jyery (文弟),[問卦] 有沒有越野跑配百岳越來越猛？,Sun Nov  1 10:37:09 2020
0,2,-2,tth9955 (EvilHeart),[問卦] 不許摸！,Sun Nov  1 10:37:12 2020
6,1,5,gn01765288 (PTT金庸),[問卦] 鬧這麼大 美豬進不了了吧?,Sun Nov  1 11:04:11 2020
